========================================================================================================================
STELLAR EVOLUTION TIMESTEPS
========================================================================================================================
M = 1.0 M_sun, target age = 1.000 Gyr, N_EVOLVE_BURN = 175
Each successful timestep is appended immediately.
========================================================================================================================

step        dt [s]     t_sim [s]     t [Myr]  Pc [dyn/cm2]        Tc [K]     R/R_sun     L/L_sun   T_eff [K]        P_phot     X_c(H1)    Y_c(He4)
------------------------------------------------------------------------------------------------------------------------
   0    0.0000e+00    0.0000e+00      0.0000    1.9505e+17    1.4341e+07      0.6414      0.7726      6756.8    3.4297e+04    0.702620    0.068955
   1    1.0000e+14    1.0000e+14      3.1686    1.9534e+17    1.4352e+07      0.5179      0.6735      7265.9    3.2923e+04    0.701942    0.069045
   2    2.0000e+14    3.0000e+14      9.5057    1.9486e+17    1.4334e+07      0.4972      0.6284      7288.1    3.4296e+04    0.701046    0.069233
   3    2.0000e+14    5.0000e+14     15.8428    1.9480e+17    1.4332e+07      0.4985      0.6316      7287.6    3.4183e+04    0.700266    0.069423
   4    2.0000e+14    7.0000e+14     22.1800    1.9503e+17    1.4340e+07      0.4893      0.6152      7308.1    3.4591e+04    0.699557    0.069598
   5    2.0000e+14    9.0000e+14     28.5171    1.9534e+17    1.4352e+07      0.5076      0.6520      7279.8    3.3524e+04    0.698728    0.069803
   6    5.0000e+13    9.5000e+14     30.1014    1.9541e+17    1.4354e+07      0.4820      0.6117      7352.8    3.4265e+04    0.698538    0.069849
   7    1.0000e+14    1.0500e+15     33.2700    1.9555e+17    1.4359e+07      0.5330      0.7079      7251.8    3.1946e+04    0.698175    0.069938
   8    1.0000e+14    1.1500e+15     36.4385    1.9569e+17    1.4365e+07      0.5086      0.6575      7288.1    3.3252e+04    0.697785    0.070034
   9    2.0000e+14    1.3500e+15     42.7757    1.9598e+17    1.4375e+07      0.5538      0.7415      7197.6    3.1426e+04    0.697022    0.070223
  10    2.0000e+14    1.5500e+15     49.1128    1.9626e+17    1.4386e+07      0.5894      0.7689      7040.5    3.2005e+04    0.696275    0.070409
  11    2.0000e+14    1.7500e+15     55.4499    1.9653e+17    1.4395e+07      0.5339      0.7212      7279.5    3.1292e+04    0.695563    0.070585
  12    2.0000e+14    1.9500e+15     61.7871    1.9689e+17    1.4408e+07      0.4924      0.6412      7360.8    3.3107e+04    0.694632    0.070817
  13    2.0000e+14    2.1500e+15     68.1242    1.9718e+17    1.4419e+07      0.4755      0.6150      7412.6    3.3532e+04    0.693853    0.071006
  14    2.0000e+14    2.3500e+15     74.4613    1.9751e+17    1.4431e+07      0.4935      0.6561      7395.0    3.2265e+04    0.692979    0.071223
  15    1.0000e+14    2.4500e+15     77.6299    1.9768e+17    1.4437e+07      0.4768      0.6288      7443.9    3.2722e+04    0.692549    0.071329
  16    2.0000e+14    2.6500e+15     83.9670    1.9795e+17    1.4447e+07      0.4713      0.6166      7450.4    3.3095e+04    0.691833    0.071504
  17    2.0000e+14    2.8500e+15     90.3042    1.9823e+17    1.4458e+07      0.4721      0.6242      7467.2    3.2656e+04    0.691096    0.071687
  18    2.0000e+14    3.0500e+15     96.6413    1.9853e+17    1.4468e+07      0.4822      0.6501      7463.7    3.1807e+04    0.690323    0.071879
  19    1.0000e+14    3.1500e+15     99.8099    1.9868e+17    1.4474e+07      0.4847      0.6542      7456.0    3.1742e+04    0.689931    0.071976
  20    2.0000e+14    3.3500e+15    106.1470    1.9898e+17    1.4485e+07      0.4699      0.6276      7494.4    3.2269e+04    0.689149    0.072170
  21    5.0000e+13    3.4000e+15    107.7313    1.9906e+17    1.4488e+07      0.4779      0.6606      7527.4    3.0867e+04    0.688957    0.072217
  22    1.0000e+14    3.5000e+15    110.8999    1.9921e+17    1.4493e+07      0.4906      0.6845      7495.5    3.0427e+04    0.688570    0.072313
  23    2.0000e+14    3.7000e+15    117.2370    1.9956e+17    1.4506e+07      0.5577      0.7870      7279.6    2.9471e+04    0.687668    0.072538
  24    1.0000e+14    3.8000e+15    120.4056    1.9973e+17    1.4512e+07      0.4885      0.6668      7462.4    3.1276e+04    0.687228    0.072647
  25    2.0000e+14    4.0000e+15    126.7427    2.0006e+17    1.4524e+07      0.4744      0.6475      7517.3    3.1381e+04    0.686372    0.072860
  26    1.0000e+14    4.1000e+15    129.9113    2.0021e+17    1.4529e+07      0.4718      0.6434      7526.1    3.1432e+04    0.686001    0.072952
  27    2.0000e+14    4.3000e+15    136.2484    2.0054e+17    1.4542e+07      0.4787      0.6570      7510.6    3.1137e+04    0.685143    0.073165
  28    2.0000e+14    4.5000e+15    142.5856    2.0087e+17    1.4553e+07      0.4660      0.6441      7574.9    3.0950e+04    0.684317    0.073371
  29    2.0000e+14    4.7000e+15    148.9227    2.0116e+17    1.4564e+07      0.4717      0.6553      7561.8    3.0713e+04    0.683584    0.073554
  30    2.0000e+14    4.9000e+15    155.2598    2.0145e+17    1.4574e+07      0.4780      0.6648      7538.3    3.0635e+04    0.682845    0.073738
  31    5.0000e+13    4.9500e+15    156.8441    2.0154e+17    1.4578e+07      0.4892      0.6847      7506.8    3.0318e+04    0.682619    0.073794
  32    1.0000e+14    5.0500e+15    160.0127    2.0169e+17    1.4583e+07      0.4980      0.7099      7507.8    2.9578e+04    0.682220    0.073893
  33    2.0000e+14    5.2500e+15    166.3498    2.0209e+17    1.4597e+07      0.4949      0.7044      7516.5    2.9656e+04    0.681224    0.074141
  34    2.0000e+14    5.4500e+15    172.6869    2.0243e+17    1.4610e+07      0.4824      0.6841      7557.8    2.9874e+04    0.680378    0.074352
