========================================================================================================================
STELLAR EVOLUTION TIMESTEPS
========================================================================================================================
M = 1.0 M_sun, target age = 1.000 Gyr, N_EVOLVE_BURN = 43
Each successful timestep is appended immediately.
========================================================================================================================

step        dt [s]     t_sim [s]     t [Myr]  Pc [dyn/cm2]        Tc [K]     R/R_sun     L/L_sun   T_eff [K]        P_phot     X_c(H1)    Y_c(He4)
------------------------------------------------------------------------------------------------------------------------
   0    0.0000e+00    0.0000e+00      0.0000    2.0012e+17    1.4432e+07      1.1765      0.7905      5017.6    3.1470e+04    0.702620    0.068955
   1    1.0000e+14    1.0000e+14      3.1686    2.1262e+17    1.4496e+07      1.2291      0.7176      4791.7    3.0585e+04    0.701909    0.069048
   2    1.0000e+14    2.0000e+14      6.3371    2.1996e+17    1.4725e+07      1.1961      0.7715      4946.1    3.1088e+04    0.701409    0.069147
   3    2.0000e+14    4.0000e+14     12.6743    2.2171e+17    1.4723e+07      1.1782      0.7565      4959.4    3.1866e+04    0.700505    0.069365
   4    1.0000e+14    5.0000e+14     15.8428    2.1832e+17    1.4669e+07      1.1799      0.7565      4955.8    3.1809e+04    0.700019    0.069486
   5    5.0000e+13    5.5000e+14     17.4271    2.1347e+17    1.4493e+07      1.0927      0.7090      5067.0    3.5540e+04    0.699800    0.069540
   6    1.0000e+14    6.5000e+14     20.5957    2.1255e+17    1.4313e+07      1.1091      0.6344      4891.4    3.6258e+04    0.699381    0.069644
   7    2.0000e+14    8.5000e+14     26.9328    2.1526e+17    1.4441e+07      1.0371      0.6711      5130.0    3.8313e+04    0.698337    0.069903
   8    2.0000e+14    1.0500e+15     33.2700    2.1564e+17    1.4453e+07      0.9594      0.6734      5338.2    4.0819e+04    0.697385    0.070140
   9    2.0000e+14    1.2500e+15     39.6071    1.9907e+17    1.4021e+07      1.1045      0.6048      4843.3    3.6961e+04    0.696348    0.070398
  10    2.0000e+14    1.4500e+15     45.9442    2.1444e+17    1.4271e+07      1.0618      0.6037      4937.3    3.8842e+04    0.695605    0.070580
  11    2.0000e+14    1.6500e+15     52.2814    2.1686e+17    1.4481e+07      1.0541      0.6780      5101.4    3.7543e+04    0.694596    0.070831
  12    2.0000e+14    1.8500e+15     58.6185    2.1462e+17    1.4453e+07      1.0926      0.6822      5018.5    3.6047e+04    0.693689    0.071056
  13    1.0000e+14    1.9500e+15     61.7871    2.1440e+17    1.4361e+07      1.0919      0.6426      4945.7    3.6811e+04    0.693242    0.071167
  14    2.0000e+14    2.1500e+15     68.1242    2.2359e+17    1.4698e+07      1.1279      0.7300      5023.6    3.3952e+04    0.692444    0.071365
  15    5.0000e+13    2.2000e+15     69.7085    2.1132e+17    1.4438e+07      1.0609      0.7001      5126.0    3.6824e+04    0.692208    0.071424
  16    2.5000e+13    2.2250e+15     70.5006    2.1305e+17    1.4360e+07      1.0409      0.6515      5082.7    3.8636e+04    0.692097    0.071450
  17    5.0000e+13    2.2750e+15     72.0849    2.1795e+17    1.4441e+07      0.9441      0.6518      5337.6    4.1989e+04    0.691829    0.071520
  18    1.0000e+14    2.3750e+15     75.2535    2.1770e+17    1.4398e+07      0.9457      0.6347      5297.6    4.2532e+04    0.691405    0.071623
  19    2.0000e+14    2.5750e+15     81.5906    2.0819e+17    1.4183e+07      0.9571      0.6082      5210.4    4.3035e+04    0.690518    0.071843
  20    1.0000e+14    2.6750e+15     84.7592    2.0726e+17    1.4310e+07      0.8036      0.6667      5818.2    4.3733e+04    0.690137    0.071936
  21    2.0000e+14    2.8750e+15     91.0963    2.1045e+17    1.4202e+07      0.7924      0.5965      5698.4    4.7731e+04    0.689356    0.072129
  22    2.0000e+14    3.0750e+15     97.4335    1.9659e+17    1.3898e+07      0.6200      0.5376      6277.0    4.9528e+04    0.688486    0.072344
  23    2.0000e+14    3.2750e+15    103.7706    1.9270e+17    1.4193e+07      0.4761      0.4495      6849.4    4.9111e+04    0.687811    0.072510
  24    2.0000e+14    3.4750e+15    110.1077    1.9990e+17    1.4294e+07      0.4751      0.4530      6870.3    4.8555e+04    0.687131    0.072677
  25    2.0000e+14    3.6750e+15    116.4449    2.0687e+17    1.4329e+07      0.4834      0.4648      6854.9    4.7906e+04    0.686305    0.072882
  26    2.0000e+14    3.8750e+15    122.7820    2.1039e+17    1.4291e+07      0.5014      0.4829      6795.5    4.7420e+04    0.685360    0.073117
  27    2.0000e+14    4.0750e+15    129.1191    2.1007e+17    1.4333e+07      0.4932      0.4805      6843.1    4.6956e+04    0.684348    0.073368
